AnnualRevenue,Assetphone__c,City,Company,Country,Description,Email,EmailBouncedDate,EmailBouncedReason,FirstName,GeocodeAccuracy,Guid,IndividualId,Industry,IsConverted,IsUnreadByOwner,Jigsaw,LastName,Latitude,LeadSource,Longitude,NumberOfEmployees,OwnerId,Phone,PostalCode,Rating,Salutation,State,Status,Street,Test_Object__c,Test_checkbox__c,Test_currency__c,Test_dateFields__c,Test_datetimefields__c,Textfield__c,Title,Website
,,,Test Pvt Ltd,,,,,,Test,,b71b4cdb-9254-4f27-b0bc-fdcf9d294c3d,,,false,true,,Lead,,,,,,,,,,,New,,,false,,,,,,
,,,Test Pvt Ltd 2,,,,,,Test,,50480896-d9f1-468d-8df6-3553fa8880fa,,,false,true,,Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,Rob Test Account 1,,,,,,Rob,,4811b0ef-c642-4ad0-b16a-10653e40bf36,,,false,true,,Test Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,abc,,,,,,1,,3871be08-738b-4799-9fbf-4875946abd2e,,,false,true,,2,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,Test,,,test@gmail.com,,,Test,,ff8b3691-377c-4989-bacb-fdf115d7372f,,,false,true,,Test,,,,,,09090909,,,Mr.,,New,,,false,,,,,Testing,
,,,ANy,,,,,,Nov,,ef7f2942-62e4-4649-8d52-a5ee511b57aa,,,false,true,,Lead1,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,A1,,,,,,Lead,,601b86f0-e60a-4d97-b072-390b68e78d55,,,false,false,,Al5,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,any1,,,,,,,,4cb18e29-86e6-41a6-ac3d-d2cbf0ec878c,,,false,true,,any,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,test,,,,,,,,daa042a0-c142-49fd-a872-2d1f77de8bef,,,false,true,,test,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,not1,,,,,,,,d05abec5-29ef-437b-bfcc-23f0a3167a1e,,,false,true,,hottttt1,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,Test Pvt Ltd,,,,,,Test,,c8cc48d1-0a9f-48bd-ba9f-047b2cc742c6,,,false,true,,Lead,,,,,,,,,,,New,,,false,,,,,,
,,,Test Pvt Ltd,,,,,,Test,,ec6b8b7e-2b67-4192-99ec-4220fec8366d,,,false,true,,Lead,,,,,,,,,,,New,,,false,,,,,,
,,,Test Pvt Ltd 2,,,,,,Test,,7e56ebcf-7699-4c81-8bad-a3f0ca78ec28,,,false,true,,Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,Rob Test Account 1,,,,,,Rob,,4baa2102-746f-43b3-9b6a-209593a87b92,,,false,true,,Test Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,abc,,,,,,1,,5d0d0f75-b67c-4407-a9f9-9506fc2c8df9,,,false,true,,2,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,ANy,,,,,,Nov,,27387a8e-fec6-4e6e-a6f7-63be7ef517d9,,,false,true,,Lead1,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,abc,,,,,,1,,d805f50a-772b-4dd6-9249-f2e126a997e5,,,false,true,,2,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,abc,,,,,,1,,e3b4beac-4947-47ac-9002-0445a5d1ff5b,,,false,true,,2,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,any1,,,,,,,,1844e2c6-8b4d-4211-b704-1792ba0997fc,,,false,true,,any,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,test,,,,,,,,6464affd-7d7e-4c1b-a488-e8db56a084f6,,,false,true,,test,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,abc,,,,,,1,,6360b711-4183-45a4-9679-f70d8db169c0,,,false,true,,2,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,Rob Test Account 1,,,,,,Rob,,c04321c6-5d90-4d68-a1b9-e5c58828a26a,,,false,true,,Test Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,abc,,,,,,1,,175b8091-f344-416c-a0e4-d319ec9c8956,,,false,true,,2,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,Rob Test Account 1,,,,,,Rob,,6db241dc-76c3-4ef0-856f-0e9150b07b20,,,false,true,,Test Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,Test Pvt Ltd 2,,,,,,Test,,7482e915-ed56-4ca6-9c06-bed58fa19453,,,false,true,,Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,Test Pvt Ltd,,,,,,Test,,3a1af28e-6368-4a31-a5d1-56366134cd08,,,false,true,,Lead,,,,,,,,,,,New,,,false,,,,,,
,,,Rob Test Account 1,,,,,,Rob,,732beb3b-1395-4e14-be76-12d0bdb08946,,,false,true,,Test Lead 1,,,,,,,,,,,New,,,false,,,,,,
,,,A1,,,,,,Lead,,2cc9224f-bb73-4896-9eb6-e8c3a2128bbb,,,false,true,,Al5,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,abc,,,,,,1,,a1aefce1-d4e9-4b60-b3f8-4f838a04d211,,,false,true,,2,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,Test Pvt Ltd,,,,,,Test,,c4674ed1-1b66-4f13-add9-068ec0e27f9c,,,false,true,,Lead,,,,,,,,,,,New,,,false,,,,,,
,,,abc,,,,,,1,,7a873788-1def-499d-8746-13eaade8a8e2,,,false,true,,2,,,,,,,,,Mr.,,New,,,false,,,,,,
,,,not1,,,,,,,,80ad9331-b5e4-4419-af13-c1e6d3b1033f,,,false,true,,hot1,,,,,,,,,Mr.,,New,,,false,,,,,,
